Annee,Governorate,Effectif_Ovin,Est_Femelle,Source
2022,Kébili,82.0,False,Répartition du cheptel selon les délégations - Gouvernorat de Kébili - RÉPARTITION DU CHEPTEL SELON .csv
2022,Kébili,7.0,False,Répartition du cheptel selon les délégations - Gouvernorat de Kébili - RÉPARTITION DU CHEPTEL SELON .csv
2022,Kébili,17.0,False,Répartition du cheptel selon les délégations - Gouvernorat de Kébili - RÉPARTITION DU CHEPTEL SELON .csv
2022,Kébili,64.0,False,Répartition du cheptel selon les délégations - Gouvernorat de Kébili - RÉPARTITION DU CHEPTEL SELON .csv
2022,Kébili,134.0,False,Répartition du cheptel selon les délégations - Gouvernorat de Kébili - RÉPARTITION DU CHEPTEL SELON .csv
2022,Kébili,10.0,False,Répartition du cheptel selon les délégations - Gouvernorat de Kébili - RÉPARTITION DU CHEPTEL SELON .csv
2022,Kébili,0.0,False,Répartition du cheptel selon les délégations - Gouvernorat de Kébili - RÉPARTITION DU CHEPTEL SELON .csv
2022,Kébili,314.0,False,Répartition du cheptel selon les délégations - Gouvernorat de Kébili - RÉPARTITION DU CHEPTEL SELON .csv
2023,Kébili,130.0,False,Répartition du cheptel selon les délégations - Gouvernorat de Kébili - RÉPARTITION DU CHEPTEL SELON .csv
2023,Kébili,6.0,False,Répartition du cheptel selon les délégations - Gouvernorat de Kébili - RÉPARTITION DU CHEPTEL SELON .csv
2023,Kébili,76.0,False,Répartition du cheptel selon les délégations - Gouvernorat de Kébili - RÉPARTITION DU CHEPTEL SELON .csv
2023,Kébili,23.0,False,Répartition du cheptel selon les délégations - Gouvernorat de Kébili - RÉPARTITION DU CHEPTEL SELON .csv
2023,Kébili,73.0,False,Répartition du cheptel selon les délégations - Gouvernorat de Kébili - RÉPARTITION DU CHEPTEL SELON .csv
2023,Kébili,36.0,False,Répartition du cheptel selon les délégations - Gouvernorat de Kébili - RÉPARTITION DU CHEPTEL SELON .csv
2023,Kébili,6.0,False,Répartition du cheptel selon les délégations - Gouvernorat de Kébili - RÉPARTITION DU CHEPTEL SELON .csv
